,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
286,34.0432,-118.20966000000001,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,61532.67188531288
287,34.040420000000005,-118.20966999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31269.69826970923
288,34.0669,-118.20986,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18744.671353922895
289,34.04283,-118.20988999999999,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31782.9322692929
290,34.086040000000004,-118.21016999999999,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,82574.32212766766
291,34.1347,-118.21063000000001,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36104.768048774975
292,34.06625,-118.21068000000001,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,38820.9601881282
293,34.13777,-118.21078,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20582.73190193619
294,34.04141,-118.21083999999999,3,L4,HWS,100X50,15000.0,L4-3S-100X50-HWS,15,80630.24101908723
295,34.02451,-118.21083999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,34232.96163869028
296,34.05652,-118.21144,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,34804.07020003993
297,34.13411,-118.21152,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19116.676374434624
298,34.07371,-118.2117,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,34575.473040224475
299,34.0737,-118.21173,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32925.37427645296
300,34.0737,-118.21173,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,55859.59597075329
301,34.0737,-118.21173,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,33052.96795902377
302,34.07479,-118.21177,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,26946.499253541006
303,34.077,-118.21181999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36587.015441218144
304,34.05396,-118.21195,3,L4,HWS,100X50,15000.0,L4-3S-100X50-HWS,15,75464.97006794259
305,34.08286,-118.21218,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,22240.686043209596
306,34.09187,-118.21221000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,32233.745380768793
