Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T3-80x30-S3-PS_Existing8,0.122758586,0.352608379,0.607190376,0.827561546,0.877957732
Building_T3-80x30-S3-PS_Existing9,0.119057099,0.350145356,0.577232334,0.734036998,0.791760318
Building_T3-80x30-S3-PS_Existing10,0.115482689,0.322025569,0.525851226,0.647993176,0.697428285
Building_T4-60x50-S2-GS_Existing1,0.355100286,0.893340865,1.309454695,1.39707736,1.397652497
Building_T4-60x50-S2-GS_Existing2,0.285400783,0.764805823,1.123700662,1.173521007,1.178938214
Building_T4-60x50-S2-GS_Existing3,0.346409921,0.879501068,1.25488334,1.321872987,1.324607991
Building_T4-60x50-S2-GS_Existing4,0.408476236,0.952101385,1.359066214,1.440914537,1.450489951
Building_T4-60x50-S2-GS_Existing5,0.182979883,0.531463944,0.793049874,0.853985362,0.862199149
Building_T4-60x50-S2-GS_Existing6,0.260794116,0.715322885,1.08543978,1.175441374,1.185595665
Building_T4-60x50-S2-GS_Existing7,0.249270168,0.661472669,1.054232419,1.142846088,1.143192518
Building_T4-60x50-S2-GS_Existing8,0.282009959,0.752097992,1.178690172,1.3008348,1.303403917
Building_T4-60x50-S2-GS_Existing9,0.253782709,0.676193899,1.062139964,1.142857787,1.148935482
Building_T4-60x50-S2-GS_Existing10,0.418429811,0.97307627,1.346061396,1.403309058,1.416460447
Building_T4-60x50-S3-GS_Existing1,0.19564206,0.559665018,0.84969335,0.904103279,0.908827297
Building_T4-60x50-S3-GS_Existing2,0.188970609,0.548372936,0.79811146,0.85955478,0.863738056
Building_T4-60x50-S3-GS_Existing3,0.153046685,0.388941957,0.483819484,0.491464669,0.491495026
Building_T4-60x50-S3-GS_Existing4,0.1561661,0.462661463,0.705281368,0.748221341,0.748203441
Building_T4-60x50-S3-GS_Existing5,0.190517934,0.504374229,0.674950139,0.693390962,0.693363281
Building_T4-60x50-S3-GS_Existing6,0.135963177,0.388401502,0.554371256,0.564443381,0.564443381
